,fighter,country,age,weightClass,wins,loses,draws,tko wins,tko lose,subs win,subs lose,total
208,Duane van Helvoirt,NETHERLANDS,32.0,Featherweight,0,1,0,0,0,0,0,1
221,Eliel Silva,BRAZIL,28.0,Lightweight,0,1,0,0,0,0,0,1
222,Shinpei Sotoyama,JAPAN,34.0,Middleweight,0,0,1,0,0,0,0,1
230,Tomasz Nebeling,POLAND,29.0,Welterweight,0,1,0,0,0,0,0,1
237,Mike Byrnes,USA,27.0,Lightweight,0,1,0,0,0,0,0,1
247,Roberto Amorim,BRAZIL,29.0,Middleweight,0,1,0,0,0,0,0,1
250,Jung Kyo Park,SOUTH KOREA,39.0,Middleweight,0,1,0,0,0,0,0,1
253,Christopher Anthony,USA,38.0,Welterweight,0,1,0,0,0,0,0,1
255,Carlston Lindsay Harris,GUYANA,30.0,Welterweight,0,1,0,0,0,0,0,1
258,Daniel Skibinski,POLAND,27.0,Welterweight,0,1,0,0,0,0,0,1
269,David Putvin,USA,26.0,Lightweight,0,0,0,0,0,0,0,0
270,Ryan Smith,USA,33.0,Lightweight,0,1,0,0,0,0,0,1
284,Pedro Paulo dos Santos,BRAZIL,32.0,Middleweight,0,1,0,0,0,0,0,1
293,Rihards Bigis,LATVIA,25.0,Light Heavyweight,0,0,0,0,0,0,0,0
294,Jake Collier,USA,29.0,Middleweight,0,0,0,0,0,0,0,0
303,Livingston Lukow,USA,29.0,Light Heavyweight,0,1,0,0,0,0,0,1
336,Victor Nunes,BRAZIL,26.0,Bantamweight,0,1,0,0,0,0,0,1
397,Taku Aramaki,JAPAN,44.0,Bantamweight,0,1,0,0,0,0,0,1
415,Takumi Murata,JAPAN,38.0,Bantamweight,0,4,0,0,0,0,0,4
416,Takuro Nishimura,JAPAN,38.0,Bantamweight,0,0,1,0,0,0,0,1
424,Hiroshi Tomita,JAPAN,34.0,Bantamweight,0,1,0,0,0,0,0,1
425,Brandon Urquijo,USA,26.0,Bantamweight,2,3,0,0,0,0,0,5
447,Leonardo Laiola,BRAZIL,38.0,Featherweight,1,1,0,0,0,0,0,2
451,Takayuki Hirose,JAPAN,39.0,Featherweight,1,0,0,0,0,0,0,1
481,Valderi Silva,BRAZIL,41.0,Featherweight,0,1,0,0,0,0,0,1
535,Taigro Costa,BRAZIL,30.0,Featherweight,0,1,0,0,0,0,0,1
607,Kai Asakura,JAPAN,24.0,Flyweight,1,0,0,0,0,0,0,1
608,Gustavo Balart,CUBA,35.0,Flyweight,6,0,0,0,0,0,0,6
613,Kendrick Latchman,USA,25.0,Flyweight,1,2,0,0,0,0,0,3
614,Maycon Silvan,BRAZIL,25.0,Flyweight,1,1,0,0,0,0,0,2
617,Jae Nam Yoo,SOUTH KOREA,30.0,Flyweight,0,2,0,0,0,0,0,2
625,Stephen Eakin,USA,35.0,Heavyweight,0,1,0,0,0,0,0,1
629,Tsuyoshi Kosaka,JAPAN,48.0,Heavyweight,0,0,0,0,0,0,0,0
662,Donald Crawford Jr.,USA,30.0,Light Heavyweight,0,1,0,0,0,0,0,1
716,Brandon Ropati,NEW ZEALAND,28.0,Light Heavyweight,1,0,0,0,0,0,0,1
722,Heydar Mamedaliev,AZERBAIJAN,26.0,Lightweight,0,2,0,0,0,0,0,2
729,Yoichi Fukumoto,JAPAN,40.0,Lightweight,0,1,0,0,0,0,0,1
730,Takuhito Hida,JAPAN,43.0,Lightweight,0,2,0,0,0,0,0,2
734,Vladimir Kanunnikov,RUSSIA,25.0,Lightweight,0,1,0,0,0,0,0,1
744,Sascha Sharma,INDIA,31.0,Lightweight,0,1,0,0,0,0,0,1
769,Brandon Dudley,USA,41.0,Lightweight,0,1,0,0,0,0,0,1
902,Kharun Atlangeriev,RUSSIA,25.0,Lightweight,0,1,0,0,0,0,0,1
907,Vuyisile Colossa,SOUTH AFRICA,35.0,Lightweight,2,3,0,0,0,0,0,5
908,Lucas Cruz,BRAZIL,25.0,Lightweight,0,4,0,0,0,0,0,4
912,Garrett Gross,USA,29.0,Lightweight,0,2,0,0,0,0,0,2
913,Adrian Hadribeaj,USA,27.0,Lightweight,3,0,0,0,0,0,0,3
931,Rubenilton Pereira,BRAZIL,25.0,Lightweight,0,2,0,0,0,0,0,2
933,Jason Pierce,USA,41.0,Lightweight,0,1,0,0,0,0,0,1
937,Josh Smith,USA,35.0,Lightweight,0,1,0,0,0,0,0,1
943,Seong Ho Yang,SOUTH KOREA,28.0,Lightweight,0,1,0,0,0,0,0,1
957,Abram Torres,USA,35.0,Middleweight,0,0,0,0,0,0,0,0
960,Masashi Yozen,JAPAN,38.0,Middleweight,0,2,0,0,0,0,0,2
961,Dustin Adams,USA,34.0,Middleweight,0,1,0,0,0,0,0,1
975,Andrzej Grzebyk,POLAND,27.0,Middleweight,2,1,0,0,0,0,0,3
1046,Abdul-Rahman Dzhanaev,RUSSIA,28.0,Middleweight,1,0,0,0,0,0,0,1
1075,Kenedy Gualande Andrade,BRAZIL,33.0,Welterweight,0,0,1,0,0,0,0,1
1079,Mariusz Radziszewski,POLAND,34.0,Welterweight,0,0,1,0,0,0,0,1
1081,Hiroki Sato,JAPAN,38.0,Welterweight,0,1,0,0,0,0,0,1
1085,Renato da Silva Jr.,BRAZIL,35.0,Welterweight,0,1,0,0,0,0,0,1
1086,Warren de Reuck,SOUTH AFRICA,36.0,Welterweight,0,0,0,0,0,0,0,0
1087,Dave Farfone,USA,31.0,Welterweight,0,0,0,0,0,0,0,0
1090,Shigeaki Kusayanagi,JAPAN,36.0,Welterweight,0,0,1,0,0,0,0,1
1092,Rodney MacSwain,NEW ZEALAND,31.0,Welterweight,1,2,0,0,0,0,0,3
1094,Ian Stephens,USA,29.0,Welterweight,1,0,0,0,0,0,0,1
1095,Chris Stranger,CANADA,44.0,Welterweight,0,1,0,0,0,0,0,1
1134,Braden Workman,USA,47.0,Welterweight,0,1,0,0,0,0,0,1
1138,James Nakashima,USA,29.0,Welterweight,8,0,0,0,0,0,0,8
1139,Kiamrian Abbasov,KYRGYZSTAN,24.0,Welterweight,1,1,0,0,0,0,0,2
1146,John Teixeira da Conceicao,BRAZIL,31.0,Welterweight,0,0,1,0,0,0,0,1
1159,Jarod Milko,CANADA,30.0,Welterweight,0,2,0,0,0,0,0,2
1165,Mateusz Piskorz,POLAND,26.0,Welterweight,0,1,0,0,0,0,0,1
1167,Romulo Romano,BRAZIL,29.0,Welterweight,0,1,0,0,0,0,0,1
1229,Alyssa Garcia,USA,24.0,Women's Atomweight,1,2,0,0,0,0,0,3
1231,Ashley Medina,USA,22.0,Women's Atomweight,0,1,0,0,0,0,0,1
1234,Lisa Spangler,USA,22.0,Women's Bantamweight,1,0,0,0,0,0,0,1
1239,Macy Chiasson,USA,26.0,Women's Featherweight,1,0,0,0,0,0,0,1
1240,Maegan Goodwin,USA,26.0,Women's Featherweight,0,1,0,0,0,0,0,1
1243,Brittney Cloudy,USA,28.0,Women's Flyweight,0,0,0,0,0,0,0,0
1247,Sunna Davidsdottir,ICELAND,33.0,Women's Strawweight,3,0,0,0,0,0,0,3
1251,Katherine Roy,USA,33.0,Women's Strawweight,1,1,0,0,0,0,0,2
3373,Marcin Lasota,POLAND,28.0,Bantamweight,0,1,0,0,1,0,0,1
3380,Chantalle Castellanos,USA,30.0,Featherweight,0,1,0,0,1,0,0,1
3400,Florin Gardan,ROMANIA,30.0,Bantamweight,0,1,0,0,1,0,0,1
3402,Rafael Primo,BRAZIL,38.0,Bantamweight,0,1,0,0,1,0,0,1
3403,Hideki Nishino,JAPAN,36.0,Featherweight,0,1,0,0,1,0,0,1
3407,Hideo Matsui,JAPAN,35.0,Featherweight,0,1,0,0,1,0,0,1
3408,Anthony McDavitt,USA,41.0,Featherweight,0,2,0,0,1,0,0,2
3409,Jamal Parks,USA,29.0,Featherweight,0,1,0,0,1,0,0,1
3412,Eddie Alvarez,USA,33.0,Flyweight,0,1,0,0,1,0,0,1
3413,Li Wei Bin,CHINA,21.0,Flyweight,0,1,0,0,1,0,0,1
3414,Eloy Garza,USA,28.0,Flyweight,0,3,0,0,1,0,0,3
3432,Yoji Saito,JAPAN,36.0,Bantamweight,0,1,0,0,1,0,0,1
3433,Gilmar Sales,BRAZIL,41.0,Bantamweight,0,1,0,0,1,0,0,1
3437,Francisco Albano Barrio,ARGENTINA,29.0,Featherweight,0,1,0,0,1,0,0,1
3444,Toshihiro Taguchi,JAPAN,39.0,Featherweight,0,1,0,0,1,0,0,1
3453,Julio Cesar de Almeida,BRAZIL,33.0,Lightweight,1,4,0,0,1,0,0,5
3459,Mahmoud Salama,EGYPT,41.0,Middleweight,0,1,0,0,1,0,0,1
3468,Allan Miguel da Costa Dantas,BRAZIL,35.0,Bantamweight,0,1,0,0,1,0,0,1
3485,Hirotaka Tomiyama,JAPAN,40.0,Lightweight,0,1,0,0,1,0,0,1
3487,Sebastian Kujawiak,POLAND,28.0,Lightweight,0,1,0,0,1,0,0,1
