,fighter,country,age,weightClass,wins,loses,draws,tko wins,tko lose,subs win,subs lose,total
16963,Ivan Castillo,MEXICO,27.0,Welterweight,0,4,0,0,1,0,2,4
16969,Micah Terrill,USA,34.0,Welterweight,0,3,0,0,1,0,2,3
16976,Cassie Robb,USA,27.0,Women's Atomweight,0,4,0,0,1,0,2,4
17048,Yuki Baba,JAPAN,31.0,Bantamweight,0,4,0,0,2,0,2,4
17049,Anthony Sessions,USA,31.0,Bantamweight,0,4,0,0,2,0,2,4
17057,Eduardo Felipe,BRAZIL,37.0,Flyweight,1,7,0,0,2,0,2,8
17070,Michal Fijalka,POLAND,34.0,Light Heavyweight,0,7,1,0,2,0,2,8
17078,Dean Amasinger,ENGLAND,34.0,Lightweight,0,5,0,0,2,0,2,5
17148,Bill Finn,USA,47.0,Lightweight,1,2,0,1,0,0,2,3
17151,Johnny Rodriguez,USA,30.0,Featherweight,3,4,0,1,0,0,2,7
17159,Andy Souwer,NETHERLANDS,35.0,Lightweight,1,2,0,1,0,0,2,3
17163,Danny Burawa,USA,29.0,Open Weight,1,2,0,1,0,0,2,3
17164,Martin Wojcik,SWEDEN,40.0,Welterweight,1,2,0,1,0,0,2,3
17176,Erson Yamamoto,JAPAN,21.0,Bantamweight,2,3,0,1,1,0,2,5
17177,Koji Nakamura,JAPAN,32.0,Bantamweight,1,3,0,1,1,0,2,4
17195,Allanna Jones,USA,31.0,Women's Bantamweight,2,4,0,1,1,0,2,6
17196,Chrissie Daniels,USA,32.0,Women's Flyweight,1,3,0,1,1,0,2,4
17203,Eddie Pelczynski,USA,31.0,Featherweight,1,5,0,1,2,0,2,6
17214,Brendan Seguin,USA,41.0,Middleweight,4,6,0,1,3,0,2,10
17222,Matt Mitrione,USA,39.0,Heavyweight,13,5,0,11,2,0,2,18
17223,Albert Tumenov,RUSSIA,26.0,Welterweight,19,4,0,12,0,0,2,23
17225,Angel De Anda,USA,33.0,Light Heavyweight,18,6,0,14,2,0,2,24
17226,Jacques Marsters,NEW ZEALAND,29.0,Lightweight,3,2,0,2,0,0,2,5
17231,Nick Denis,CANADA,34.0,Bantamweight,2,3,0,2,1,0,2,5
17235,Ariel Beck,USA,27.0,Women's Flyweight,4,5,0,2,1,0,2,9
17242,Shonie Carter,USA,46.0,Catchweight,6,12,0,2,5,0,2,18
17244,Ashlee Evans-Smith,USA,30.0,Women's Flyweight,6,3,0,3,0,0,2,9
17245,Roberto Yong,USA,34.0,Lightweight,3,3,0,3,1,0,2,6
17248,Alain Ngalani,CAMEROON,42.0,Open Weight,3,4,0,3,2,0,2,7
17249,Chris Beal,USA,32.0,Bantamweight,10,7,0,3,3,0,2,17
17250,Alex Karalexis,USA,40.0,Lightweight,4,5,0,3,3,0,2,9
17251,Eddie Sanchez,USA,36.0,Heavyweight,4,9,0,3,5,0,2,13
17252,Chinzo Machida,BRAZIL,41.0,Featherweight,5,3,0,4,0,0,2,8
17258,Thomas Diagne,FRANCE,34.0,Lightweight,6,7,1,4,4,0,2,14
17259,Sheymon Moraes,BRAZIL,27.0,Featherweight,9,2,0,5,0,0,2,11
17263,Joanne Calderwood,SCOTLAND,31.0,Women's Strawweight,11,3,0,5,0,0,2,14
17265,Hayder Hassan,USA,35.0,Welterweight,7,3,0,5,1,0,2,10
17266,Darren Stewart,ENGLAND,27.0,Middleweight,8,3,0,6,0,0,2,11
17267,Curtis Millender,USA,30.0,Welterweight,15,3,0,6,0,0,2,18
17271,Yosdenis Cedeno,CUBA,33.0,Lightweight,10,6,1,7,0,0,2,17
17272,Giga Kukhalashvili,RUSSIA,29.0,Light Heavyweight,9,4,0,7,1,0,2,13
17273,Nordine Taleb,CANADA,37.0,Welterweight,14,5,0,7,1,0,2,19
17275,Mark Munoz,USA,40.0,Middleweight,14,6,0,7,3,0,2,20
17276,KJ Noons,USA,35.0,Lightweight,13,9,0,9,1,0,2,22
17277,Lorenzo Hood,USA,29.0,Heavyweight,9,4,0,9,2,0,2,13
17281,Kelly Warren,USA,33.0,Flyweight,0,4,0,0,0,0,3,4
17306,Blake Breitsprecher,USA,29.0,Light Heavyweight,0,3,0,0,0,0,3,3
17322,Jeff Carson,USA,26.0,Lightweight,0,3,0,0,0,0,3,3
17326,Scott McAfee,USA,34.0,Lightweight,0,5,0,0,0,0,3,5
17327,Kota Shimoishi,JAPAN,31.0,Lightweight,1,4,0,0,0,0,3,5
17338,Dmitry Voitov,BELARUS,32.0,Middleweight,1,3,0,0,0,0,3,4
17342,Jimmy Millar,ENGLAND,34.0,Welterweight,0,3,0,0,0,0,3,3
17348,Vaidas Valancius,LITHUANIA,30.0,Welterweight,0,4,0,0,0,0,3,4
17406,Randy Steinke,USA,31.0,Bantamweight,0,5,1,0,1,0,3,6
17416,Chris Tickle,USA,36.0,Lightweight,0,5,0,0,1,0,3,5
17425,Nate Mohr,USA,35.0,Lightweight,1,4,0,0,1,0,3,5
17438,Ramico Blackmon,USA,45.0,Welterweight,1,4,0,0,1,0,3,5
17440,Tom Speer,USA,33.0,Welterweight,2,4,0,0,1,0,3,6
17464,Wade Choate,USA,38.0,Bantamweight,0,6,0,0,2,0,3,6
17475,Tiawan Howard,USA,43.0,Lightweight,0,7,0,0,2,0,3,7
17489,Sally Krumdiack,USA,35.0,Women's Strawweight,1,5,0,0,2,0,3,6
17498,Derrick Kennington,USA,35.0,Lightweight,0,6,0,0,3,0,3,6
17501,Tyler Combs,USA,32.0,Catch Weight,0,7,0,0,4,0,3,7
17502,Lee Mein,CANADA,51.0,Heavyweight,0,7,0,0,4,0,3,7
17511,Ryuta Sakurai,JAPAN,46.0,Middleweight,0,12,1,0,5,0,3,13
17515,Soslan Abanokov,USA,29.0,Featherweight,4,4,0,1,0,0,3,8
17521,Edvaldo de Oliveira,BRAZIL,42.0,Middleweight,1,6,0,1,1,0,3,7
17522,Kyle Walker,USA,31.0,Catch Weight,2,4,0,1,1,0,3,6
17524,Cory Devela,USA,33.0,Middleweight,3,5,0,1,1,0,3,8
17526,Charlie Rader,USA,36.0,Welterweight,1,4,0,1,1,0,3,5
17527,Rafael Silva,PORTUGAL,40.0,Welterweight,1,5,0,1,1,0,3,6
17530,Donny Walker,USA,38.0,Bantamweight,1,6,0,1,2,0,3,7
17534,Forrest Petz,USA,42.0,Welterweight,6,8,0,1,2,0,3,14
17537,Robert Morrow,USA,32.0,Light Heavyweight,1,8,1,1,4,0,3,10
17541,Ruben Villareal,USA,48.0,Heavyweight,2,13,0,1,5,0,3,15
17542,James Terry,USA,37.0,Welterweight,19,9,0,10,0,0,3,28
17544,Neil Grove,ENGLAND,47.0,Heavyweight,12,8,1,12,1,0,3,21
17546,Eeva Siiskonen,FINLAND,36.0,Women's Bantamweight,3,4,1,2,0,0,3,8
17551,Daniel Acacio,BRAZIL,40.0,Welterweight,8,11,0,2,2,0,3,19
17558,Magomed Sultanakhmedov,RUSSIA,34.0,Middleweight,5,5,0,4,0,0,3,10
17559,Nicdali Rivera-Calanoc,USA,33.0,Women's Atomweight,8,9,0,4,1,0,3,17
17560,Shahbulat Shamhalaev,RUSSIA,34.0,Featherweight,12,3,1,5,0,0,3,16
17562,Christian Colombo,DENMARK,37.0,Heavyweight,8,3,1,6,0,0,3,12
17563,Kaitlin Young,USA,32.0,Women's Featherweight,7,9,1,6,3,0,3,17
17564,Pat Barry,USA,38.0,Heavyweight,8,7,0,7,4,0,3,15
17565,Francisco Rivera,USA,36.0,Bantamweight,11,7,0,8,1,0,3,18
17566,Tae Hyun Bang,SOUTH KOREA,35.0,Lightweight,18,10,0,9,0,0,3,28
17583,Steve Kinnison,USA,34.0,Lightweight,0,5,0,0,0,0,4,5
17584,Wesley Murch,ENGLAND,35.0,Lightweight,0,4,0,0,0,0,4,4
17602,Nick Gonzalez,USA,37.0,Featherweight,0,6,0,0,1,0,4,6
17607,Oriol Gaset,SPAIN,39.0,Lightweight,0,6,0,0,1,0,4,6
17609,Jay Palmer,USA,46.0,Lightweight,0,5,0,0,1,0,4,5
17643,Dominic Brown,USA,36.0,Catch Weight,0,11,0,0,6,0,4,11
17645,Ryan McGivern,USA,38.0,Middleweight,2,4,0,1,0,0,4,6
17650,Anthony Ruiz,USA,40.0,Light Heavyweight,2,11,0,1,2,0,4,13
17656,George Sullivan,USA,37.0,Welterweight,17,6,0,11,1,0,4,23
17658,Issei Tamura,JAPAN,34.0,Featherweight,10,8,0,3,2,0,4,18
17659,Maximo Blanco,VENEZUELA,34.0,Featherweight,12,8,1,8,0,0,4,21
17660,Anthony Njokuani,USA,38.0,Lightweight,16,11,0,9,1,0,4,27
17679,Darrell Smith,USA,41.0,Lightweight,1,6,0,0,1,0,5,7
17691,Sean Wilson,USA,35.0,Featherweight,0,8,0,0,3,0,5,8
17693,Vincent Del Guerra,FRANCE,28.0,Welterweight,0,10,0,0,3,0,5,10
17703,Bruno Silva,BRAZIL,28.0,Middleweight,18,6,0,15,0,0,5,24
17704,Anthony Johnson,USA,34.0,Light Heavyweight,22,6,0,16,1,0,5,28
17707,Kultar Gill,CANADA,39.0,Welterweight,3,6,0,3,0,0,5,9
17709,Isaac Villanueva,USA,34.0,Middleweight,11,8,0,9,3,0,5,19
17710,Mark Hunt,NEW ZEALAND,44.0,Heavyweight,13,12,1,10,5,0,6,26
17717,Ryan Braun,USA,31.0,Middleweight,0,7,0,0,1,0,6,7
17727,Ivica Truscek,CROATIA,30.0,Lightweight,2,11,0,2,1,0,6,13
17730,Jason Guida,USA,40.0,Light Heavyweight,0,13,0,0,1,0,7,13
17735,Charon Spain,USA,30.0,Lightweight,1,13,0,1,4,0,7,14
17736,Melvin Manhoef,NETHERLANDS,42.0,Middleweight,30,14,1,28,5,0,7,45
17743,Bill Friday,USA,31.0,Flyweight,1,0,0,0,0,1,0,1
17752,Jeff Bates,USA,25.0,Featherweight,1,0,0,0,0,1,0,1
17775,Umar Vakhaev,RUSSIA,26.0,Middleweight,1,0,0,0,0,1,0,1
17779,Alan Langer,POLAND,28.0,Lightweight,1,0,0,0,0,1,0,1
17780,Sinjen Smith,USA,25.0,Lightweight,2,0,0,0,0,1,0,2
17782,Tyler Manawaroa,AUSTRALIA,23.0,Middleweight,1,0,0,0,0,1,0,1
17786,Shilom Johnson,USA,46.0,Light Heavyweight,1,0,0,0,0,1,0,1
17788,Jarid Bussemakers,CANADA,32.0,Welterweight,1,1,0,0,0,1,0,2
17792,John Johnston,USA,47.0,Heavyweight,1,0,0,0,0,1,0,1
17815,Soyu Tanabe,JAPAN,43.0,Bantamweight,1,0,0,0,0,1,0,1
17822,Dillon Danis,USA,24.0,Catch Weight,1,0,0,0,0,1,0,1
17848,Marco Lopez Simmons,USA,25.0,Featherweight,1,0,0,0,0,1,0,1
17849,Fernando Padilla,MEXICO,21.0,Featherweight,1,2,0,0,0,1,0,3
17850,Roman Szymanski,POLAND,25.0,Featherweight,1,1,0,0,0,1,0,2
17856,Mikihito Yamagami,JAPAN,31.0,Flyweight,2,0,0,0,0,1,0,2
17859,Lance Peterson,USA,39.0,Heavyweight,1,0,0,0,0,1,0,1
17881,Emyr Bussade,USA,38.0,Light Heavyweight,1,1,0,0,0,1,0,2
17884,Sam Hoger,USA,37.0,Light Heavyweight,2,3,0,0,0,1,0,5
17888,Chuji Kato,JAPAN,28.0,Lightweight,1,0,0,0,0,1,0,1
17890,Milan Zerjal,USA,28.0,Lightweight,1,0,0,0,0,1,0,1
17898,Frank Santore,USA,35.0,Lightweight,2,1,0,0,0,1,0,3
17902,Shamil Nikaev,RUSSIA,23.0,Lightweight,9,0,0,0,0,1,0,9
17923,Curtis Demarce,CANADA,29.0,Lightweight,2,3,0,0,0,1,0,5
17928,Killys Mota,BRAZIL,27.0,Lightweight,1,0,0,0,0,1,0,1
17929,Kamrin Naville,USA,30.0,Lightweight,1,2,0,0,0,1,0,3
17946,Brett Sizeland,ENGLAND,37.0,Middleweight,1,0,0,0,0,1,0,1
17971,Riku Shibuya,JAPAN,33.0,Strawweight,1,0,0,0,0,1,0,1
17973,Max Fernandez,BRAZIL,33.0,Welterweight,1,0,0,0,0,1,0,1
17975,Garett Davis,CANADA,41.0,Welterweight,1,0,0,0,0,1,0,1
17990,Kris Hocum,USA,33.0,Welterweight,2,3,0,0,0,1,0,5
17996,Tim Roman,USA,33.0,Welterweight,2,1,0,0,0,1,0,3
18015,Kerri Kenneson,USA,31.0,Women's Bantamweight,3,0,0,0,0,1,0,3
18017,Andria Wawro,USA,40.0,Women's Featherweight,3,3,0,0,0,1,0,6
18018,Allison Schmidt,USA,36.0,Women's Featherweight,1,1,0,0,0,1,0,2
18020,Casey Noland,USA,40.0,Women's Flyweight,2,2,0,0,0,1,0,4
18021,Kayla Harrison,USA,27.0,Women's Lightweight,1,0,0,0,0,1,0,1
18022,Tecia Torres,USA,28.0,Women's Strawweight,10,2,0,0,0,1,0,12
18023,Norma Rueda Center,USA,30.0,Women's Strawweight,3,2,0,0,0,1,0,5
18024,Jamie Moyle,USA,29.0,Women's Strawweight,4,2,0,0,0,1,0,6
18245,Yoshitaka Abe,JAPAN,36.0,Bantamweight,1,2,1,0,1,1,0,4
18250,Jacob O'Connell,AUSTRALIA,31.0,Welterweight,1,1,0,0,1,1,0,2
18267,Vincent Eazelle,USA,37.0,Featherweight,1,2,0,0,1,1,0,3
18272,Yao Zhikui,CHINA,27.0,Flyweight,2,4,0,0,1,1,0,6
18301,Gregor Herb,GERMANY,40.0,Middleweight,1,6,0,0,1,1,0,7
18305,Luis Brito,BRAZIL,43.0,Welterweight,1,3,0,0,1,1,0,4
18310,James Wilks,ENGLAND,40.0,Welterweight,2,2,0,0,1,1,0,4
18327,Kay Hansen,USA,18.0,Women's Strawweight,1,1,0,0,1,1,0,2
18406,Richard Crunkilton,USA,38.0,Lightweight,3,4,0,0,2,1,0,7
18415,Koshi Matsumoto,JAPAN,34.0,Lightweight,1,3,1,0,2,1,0,5
18418,Charles McCarthy,USA,37.0,Middleweight,1,2,0,0,2,1,0,3
18424,Allan Goes,BRAZIL,47.0,Middleweight,2,3,0,0,2,1,0,5
18428,Matt Arroyo,USA,36.0,Welterweight,1,3,0,0,2,1,0,4
18431,Justin Roswell,USA,29.0,Welterweight,1,2,0,0,2,1,0,3
18433,Marina Shafir,MOLDOVA,30.0,Women's Featherweight,1,2,0,0,2,1,0,3
18435,Fernanda Barros,BRAZIL,29.0,Women's Strawweight,2,2,0,0,2,1,0,4
18447,Rolando Delgado,USA,36.0,Featherweight,2,4,0,0,3,1,0,6
18449,Christian Wellisch,HUNGARY,37.0,Light Heavyweight,2,4,0,0,3,1,0,6
18458,Elvis Sinosic,AUSTRALIA,47.0,Light Heavyweight,1,6,0,0,4,1,0,7
18467,Jared McComb,CANADA,34.0,Middleweight,2,0,0,1,0,1,0,2
18469,Victor Henry,USA,31.0,Bantamweight,2,4,0,1,0,1,0,6
18470,Miles Johns,USA,24.0,Bantamweight,5,0,0,1,0,1,0,5
18472,Thai Clark,USA,29.0,Lightweight,7,0,0,1,0,1,0,7
18485,Austin Vanderford,USA,28.0,Welterweight,3,0,0,1,0,1,0,3
18490,Felicia Spencer,USA,27.0,Women's Featherweight,4,0,0,1,0,1,0,4
18491,Liz Tracy,USA,30.0,Women's Flyweight,5,2,0,1,0,1,0,7
18492,Alexandra Albu,RUSSIA,27.0,Women's Strawweight,3,0,0,1,0,1,0,3
18493,Kelly D'Angelo,USA,31.0,Women's Strawweight,2,1,0,1,0,1,0,3
18506,Marianna Kheyfets,USA,33.0,Flyweight,2,1,0,1,1,1,0,3
18507,Ashleigh Grimshaw,ENGLAND,36.0,Featherweight,2,3,1,1,1,1,0,6
18509,Adam Acquaviva,USA,25.0,Bantamweight,3,1,0,1,1,1,0,4
18511,Horacio Gutierrez,MEXICO,27.0,Featherweight,2,3,0,1,1,1,0,5
18512,Chuka Willis,USA,25.0,Featherweight,4,4,0,1,1,1,0,8
18513,Mike Hayes,USA,37.0,Heavyweight,5,10,0,1,1,1,0,15
18517,Elias Urbina,USA,24.0,Middleweight,3,1,0,1,1,1,0,4
18519,Matthew Riddle,USA,32.0,Welterweight,8,3,0,1,1,1,0,11
18520,Amir Sadollah,USA,37.0,Welterweight,6,5,0,1,1,1,0,11
18521,Veronica Macedo,VENEZUELA,22.0,Women's Flyweight,5,2,1,1,1,1,0,8
18535,Andreas Kraniotakes,GERMANY,36.0,Heavyweight,2,6,0,1,3,1,0,8
18537,Carlos Zevallos,USA,39.0,Heavyweight,3,4,0,1,3,1,0,7
18541,James Chaney,USA,30.0,Welterweight,2,3,0,1,3,1,0,5
18543,Gilbert Jimenez,USA,33.0,Featherweight,2,5,0,1,4,1,0,7
18548,Brendan Loughnane,ENGLAND,28.0,Featherweight,15,3,0,10,0,1,0,18
18549,Paulo Costa,BRAZIL,27.0,Middleweight,11,0,0,10,0,1,0,11
18550,Paul Felder,USA,34.0,Lightweight,15,3,0,10,1,1,0,18
18551,Marcin Prachnio,POLAND,29.0,Light Heavyweight,13,3,0,10,2,1,0,16
18552,Uriah Hall,JAMAICA,33.0,Middleweight,13,8,0,10,3,1,0,21
18553,Brandon Vera,USA,40.0,Heavyweight,15,7,0,10,4,1,0,22
18554,Doo Ho Choi,KOREA,27.0,Featherweight,14,3,0,11,1,1,0,17
18555,Roberto Soldic,BOSNIA & HERZEGOVINA,23.0,Welterweight,13,3,0,11,1,1,0,16
18556,Riki Fukuda,JAPAN,37.0,Middleweight,23,8,0,11,2,1,0,31
18557,Luiz Cane,BRAZIL,37.0,Middleweight,13,5,0,11,3,1,0,18
18558,Rafael Cavalcante,BRAZIL,37.0,Light Heavyweight,12,7,0,11,4,1,0,19
18559,Dongi Yang,SOUTH KOREA,33.0,Middleweight,13,3,0,12,0,1,0,16
18560,Alexey Kunchenko,RUSSIA,34.0,Welterweight,18,0,0,13,0,1,0,18
18561,Scott Barrett,USA,34.0,Heavyweight,16,5,0,13,1,1,0,21
18562,Stipe Miocic,USA,35.0,Heavyweight,18,2,0,13,1,1,0,20
18563,Evgeny Erokhin,RUSSIA,32.0,Heavyweight,18,6,0,13,4,1,0,24
18564,Marius Zaromskis,LITHUANIA,37.0,Welterweight,20,9,0,13,5,1,0,29
18565,Justin Gaethje,USA,29.0,Lightweight,18,2,0,15,2,1,0,20
18566,Jimi Manuwa,ENGLAND,38.0,Light Heavyweight,17,4,0,15,3,1,0,21
18567,Thiago Silva,BRAZIL,35.0,Middleweight,20,7,0,15,4,1,0,27
18568,Derrick Lewis,USA,33.0,Heavyweight,19,5,0,17,3,1,0,24
18571,Irwin Rivera,USA,29.0,Bantamweight,5,1,0,2,0,1,0,6
18572,Kyler Phillips,USA,23.0,Bantamweight,5,0,0,2,0,1,0,5
18574,Muhammed DeReese,USA,30.0,Light Heavyweight,5,0,0,2,0,1,0,5
18575,Matt Ricehouse,USA,31.0,Lightweight,6,1,0,2,0,1,0,7
18578,Gabrielle Holloway,USA,28.0,Women's Featherweight,6,5,0,2,0,1,0,11
18579,Katlyn Chookagian,USA,29.0,Women's Flyweight,10,1,0,2,0,1,0,11
18583,Merab Dvalishvili,USA,27.0,Bantamweight,7,4,0,2,1,1,0,11
18584,Isaiah Chapman,USA,28.0,Bantamweight,6,2,0,2,1,1,0,8
18585,Jose Quinonez,MEXICO,27.0,Bantamweight,7,2,0,2,1,1,0,9
18590,Everett Sims,USA,29.0,Heavyweight,3,1,0,2,1,1,0,4
18592,Nick Roehrick,USA,30.0,Light Heavyweight,7,1,0,2,1,1,0,8
18593,Justin Sumter,USA,28.0,Middleweight,4,1,0,2,1,1,0,5
18595,Hector Aldana,MEXICO,29.0,Welterweight,4,1,0,2,1,1,0,5
18596,Emmanuel Walo,USA,31.0,Welterweight,12,2,1,2,1,1,0,15
18598,Kolton Englund,USA,25.0,Lightweight,5,2,0,2,2,1,0,7
18600,Alptekin Ozkilic,USA,32.0,Flyweight,9,5,0,2,2,1,0,14
18604,Elizabeth Phillips,USA,31.0,Women's Bantamweight,6,6,0,2,2,1,0,12
18606,Danilo Belluardo,ITALY,23.0,Featherweight,5,3,0,2,3,1,0,8
18607,Daniel Jolly,USA,33.0,Heavyweight,5,3,0,2,3,1,0,8
18610,Wanderlei Silva,BRAZIL,41.0,Heavyweight,35,13,1,27,6,1,0,49
18611,Paul Ruiz,USA,30.0,Bantamweight,7,3,0,3,0,1,0,10
18612,Chris Avila,USA,25.0,Featherweight,5,6,0,3,0,1,0,11
18613,Michal Wlodarek,POLAND,34.0,Heavyweight,7,1,0,3,0,1,0,8
18614,Gemiyale Adkins,USA,35.0,Lightweight,9,8,0,3,0,1,0,17
18617,Jeff Hughes,USA,30.0,Heavyweight,9,1,0,3,1,1,0,10
18618,Elias Silverio,BRAZIL,31.0,Lightweight,11,2,0,3,1,1,0,13
18621,Emanuele Palombi,ITALY,32.0,Middleweight,5,3,0,3,1,1,0,8
18623,Chris Spang,USA,30.0,Welterweight,5,3,0,3,1,1,0,8
18625,Gina Carano,USA,36.0,Women's Featherweight,7,1,0,3,1,1,0,8
18628,Danielle Taylor,USA,28.0,Women's Strawweight,9,3,0,3,1,1,0,12
18633,Petr Yan,RUSSIA,25.0,Bantamweight,9,1,0,4,0,1,0,10
18634,Tateki Matsuda,USA,32.0,Flyweight,10,8,0,4,0,1,0,18
18635,Yoni Sherbatov,CANADA,30.0,Flyweight,7,0,1,4,0,1,0,8
18636,Joseph Lowry,USA,28.0,Lightweight,7,0,0,4,0,1,0,7
18638,Luke Cummo,USA,38.0,Welterweight,6,6,0,4,0,1,0,12
18639,Aspen Ladd,USA,23.0,Women's Bantamweight,6,0,0,4,0,1,0,6
18642,Tim Barnett,ENGLAND,28.0,Lightweight,5,1,0,4,1,1,0,6
18643,Stephen Regman,USA,26.0,Lightweight,6,2,0,4,1,1,0,8
18644,Andreas Stahl,SWEDEN,30.0,Welterweight,10,3,0,4,1,1,0,13
18645,Joanna Jedrzejczyk,POLAND,30.0,Women's Strawweight,14,2,0,4,1,1,0,16
18647,Valerie Letourneau,CANADA,35.0,Women's Flyweight,9,6,0,4,2,1,0,15
18649,Marcos Galvao,BRAZIL,37.0,Featherweight,18,10,1,4,3,1,0,29
18650,Frank Carrillo,USA,34.0,Lightweight,10,6,0,4,3,1,0,16
18651,Antonio Dos Santos,BRAZIL,29.0,Middleweight,6,3,0,4,3,1,0,9
18652,Guy Mezger,USA,50.0,Middleweight,8,7,0,4,3,1,0,15
18655,Marcelo Golm,BRAZIL,25.0,Heavyweight,6,1,0,5,0,1,0,7
18659,Michel Quinones,USA,33.0,Lightweight,8,3,0,5,1,1,0,11
18661,Chris Honeycutt,USA,29.0,Middleweight,10,2,0,5,1,1,0,12
18662,Amanda Lemos,BRAZIL,31.0,Women's Bantamweight,6,1,1,5,1,1,0,8
18663,Wu Yanan,CHINA,22.0,Women's Bantamweight,8,2,0,5,1,1,0,10
18665,Jalin Turner,USA,23.0,Lightweight,6,3,0,5,2,1,0,9
18667,Sean O'Malley,USA,23.0,Bantamweight,10,0,0,6,0,1,0,10
18668,Levan Makashvili,USA,29.0,Featherweight,15,2,1,6,0,1,0,18
18669,Alonzo Menifield,USA,23.0,Light Heavyweight,7,0,0,6,0,1,0,7
18670,Eryk Anders,USA,31.0,Middleweight,10,1,0,6,0,1,0,11
18672,Jeff Lentz,USA,29.0,Welterweight,11,6,1,6,0,1,0,18
18676,Darrell Horcher,USA,30.0,Lightweight,13,3,0,6,1,1,0,16
18677,Andre Fialho,PORTUGAL,24.0,Welterweight,8,1,0,6,1,1,0,9
18678,Giovanni Melillo,ITALY,33.0,Welterweight,8,1,0,6,1,1,0,9
18679,Mike Ricci,CANADA,32.0,Lightweight,11,5,0,6,2,1,0,16
18682,Aaron Simpson,USA,43.0,Welterweight,12,5,0,6,3,1,0,17
18683,Stephen Thompson,USA,35.0,Welterweight,14,3,1,7,0,1,0,18
18684,Darko Stosic,SERBIA,26.0,Light Heavyweight,12,1,0,7,1,1,0,13
18686,Abu Azaitar,GERMANY,32.0,Middleweight,13,1,1,7,1,1,0,15
18687,Constantinos Philippou,USA,38.0,Middleweight,13,5,0,7,1,1,0,18
18688,Mikkel Parlo,DENMARK,28.0,Middleweight,13,3,0,7,1,1,0,16
18689,Chad Laprise,CANADA,31.0,Welterweight,13,3,0,7,2,1,0,16
18690,Emil Meek,NORWAY,29.0,Welterweight,9,3,0,7,2,1,0,12
18691,Ricky Rainey,USA,34.0,Welterweight,13,5,0,7,3,1,0,18
18692,Brendan Schaub,USA,35.0,Heavyweight,10,5,0,7,4,1,0,15
18693,Rashid Magomedov,RUSSIA,34.0,Lightweight,20,2,0,8,0,1,0,22
18694,Jingnan Xiong,CHINA,30.0,Women's Flyweight,12,1,0,8,0,1,0,13
18696,Maxim Divnich,RUSSIA,29.0,Lightweight,13,3,0,8,3,1,0,16
18698,Johny Hendricks,USA,34.0,Middleweight,18,8,0,8,3,1,0,26
18700,Damir Ismagulov,RUSSIA,27.0,Lightweight,16,2,0,9,1,1,0,18
18701,Yuki Niimura,JAPAN,35.0,Middleweight,11,4,0,9,2,1,0,15
18702,Steve Bosse,CANADA,36.0,Light Heavyweight,12,2,0,9,2,1,0,14
18703,Tyson Nam,USA,34.0,Flyweight,16,9,1,9,3,1,0,26
18709,Jesse Romero,USA,33.0,Welterweight,1,2,0,0,0,1,1,3
18711,Peter Nolan,CANADA,38.0,Light Heavyweight,1,1,0,0,0,1,1,2
18712,Mojtaba Najim Wali,USA,34.0,Light Heavyweight,1,1,0,0,0,1,1,2
18717,Yoon Young Kim,SOUTH KOREA,31.0,Welterweight,1,1,0,0,0,1,1,2
18738,Anzor Azhiev,POLAND,27.0,Featherweight,1,2,0,0,0,1,1,3
18739,Marat Balaev,RUSSIA,42.0,Featherweight,8,1,0,0,0,1,1,9
18741,Joni Salovaara,FINLAND,32.0,Featherweight,1,2,0,0,0,1,1,3
18777,Damien Trites,USA,38.0,Lightweight,1,2,0,0,0,1,1,3
18793,Paul Georgieff,USA,35.0,Welterweight,1,1,0,0,0,1,1,2
18802,Bruna Vargas,BRAZIL,28.0,Women's Flyweight,2,2,0,0,0,1,1,4
18803,Denise Kielholtz,NETHERLANDS,29.0,Women's Flyweight,2,1,0,0,0,1,1,3
18805,Maria Rios,USA,35.0,Women's Strawweight,2,3,0,0,0,1,1,5
18806,Patricia Vidonic,USA,38.0,Women's Strawweight,2,6,0,0,0,1,1,8
18808,Jocelyn Jones-Lybarger,USA,32.0,Women's Strawweight,6,4,0,0,0,1,1,10
18869,Sanja Sucevic,SERBIA,31.0,Strawweight,1,3,0,0,1,1,1,4
18880,Mikael Silander,FINLAND,32.0,Flyweight,2,3,0,0,1,1,1,5
18881,Simao Melo da Silva,BRAZIL,36.0,Light Heavyweight,1,2,0,0,1,1,1,3
18885,Mattia Schiavolin,ITALY,33.0,Light Heavyweight,1,2,1,0,1,1,1,4
18906,Brian van Hoven,USA,44.0,Welterweight,2,4,0,0,1,1,1,6
18924,Duda Yankovich,BRAZIL,41.0,Bantamweight,1,3,0,0,2,1,1,4
18936,Marcus Enache,USA,42.0,Lightweight,3,3,0,0,2,1,1,6
18971,Dustin Holyko,USA,32.0,Catch Weight,2,1,0,1,0,1,1,3
18976,Kyle Driscoll,USA,24.0,Lightweight,4,2,0,1,0,1,1,6
18985,Roy Doliguez,PHILIPPINES,36.0,Flyweight,6,5,0,1,1,1,1,11
18991,Ray Sefo,NEW ZEALAND,47.0,Heavyweight,2,2,0,1,1,1,1,4
18996,David Bielkheden,SWEDEN,39.0,Lightweight,4,6,0,1,1,1,1,10
18997,Guillaume DeLorenzi,CANADA,33.0,Lightweight,2,2,0,1,1,1,1,4
19000,James Christopherson,USA,30.0,Welterweight,2,2,0,1,1,1,1,4
19007,Evan Thompson,USA,33.0,Middleweight,5,3,0,1,2,1,1,8
