title,country,stance,reach,age,weightClass,trainingCenter,wins,loses,draws,tkos,tko wins,tko lose,subs,subs win,subs lose
Heqin Lin,CHINA,,,24,Strawweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Emily Fisher,,,,,Flyweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Andrew Connors,USA,,,28,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Brian Eckstein,USA,,,,Bantamweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Adriano Moreira Goncalves de Queiroz,BRAZIL,,,36,Bantamweight,,0,0,1,0 - 0,0,0,0 - 0,0,0
Ryskulbek Ibraimov,,,,25,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Shyngys Kairanov,KAZAKHSTAN,,,,Bantamweight,,1,1,0,0 - 0,0,0,0 - 0,0,0
Ryan Lilley,USA,,,,Bantamweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Kensaku Nakamura,JAPAN,,,34,Bantamweight,,1,0,1,0 - 0,0,0,0 - 0,0,0
Atila Oliveira Pininga,,,,34,Bantamweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Walter Pereira Jr.,BRAZIL,,,,Bantamweight,,1,1,0,0 - 0,0,0,0 - 0,0,0
Gregg Dulani Perry,,,,,Bantamweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
David Iberico,PERU,,,,Featherweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Masatoshi Kobayashi,JAPAN,,,40,Featherweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Maryanne Mullahy,AUSTRALIA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Hidekazu Asakura,JAPAN,,,49,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Georges Bardawil,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Alberto Gomez,COLOMBIA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Sebastian Grabarek,POLAND,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Bobby Hill,USA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Dong Kyu Park,SOUTH KOREA,,,,Featherweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Jairo Soares,,,,35,Featherweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Robert Sullivan,USA,,,,Featherweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Clay Wimer,USA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Mark Delarosa,,,,23,Flyweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Uloomi Karim Shaheen,,,,,Flyweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Jose Matheus Ortiz,BRAZIL,,,,Flyweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Haruki Nakayama,JAPAN,,,,Flyweight,,1,0,1,0 - 0,0,0,0 - 0,0,0
Vladislav Nikitchenko,RUSSIA,,,31,Flyweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Arthur Oliveira,BRAZIL,,,,Flyweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Brandon Royval,USA,,,,Flyweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Tatsuya Watanabe,JAPAN,,,30,Flyweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Andy Young,,,,,Flyweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Hirosumi Sugiura,JAPAN,,,,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Magomed Alhasov,,,,,Lightweight,,2,0,0,0 - 0,0,0,0 - 0,0,0
Ruslan Bechaev,RUSSIA,,,,Lightweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Bec Rawlings,AUSTRALIA,,,29,Strawweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Ron Scolesdang,USA,,,32,Bantamweight,,1,1,0,0 - 0,0,0,0 - 0,0,0
Robert Aguirre,USA,,,28,Bantamweight,,2,0,0,0 - 0,0,0,0 - 0,0,0
Dukvaha Astamirov,RUSSIA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Enrique Briones,MEXICO,,,,Bantamweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
James Cianci,USA,,,32,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Kim Connor-Hamby,,,,,Bantamweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Diego Davella,BRAZIL,,,30,Bantamweight,,1,1,0,0 - 0,0,0,0 - 0,0,0
Reuben Duran,USA,,,,Bantamweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Nobuki Fujii,JAPAN,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Cody Garbrandt,USA,,,26,Bantamweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Renato Higen Carriel,BRAZIL,,,30,Bantamweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Tomohiko Hori,JAPAN,,,36,Bantamweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Daniel Hortegas,BRAZIL,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Joseph Mercado,PHILIPPINES,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Fumiya Sasaki,JAPAN,,,33,Bantamweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Naohiro Takaoka,JAPAN,,,31,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Patrick Ward,CANADA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Kensuke Nakamura,JAPAN,,,36,Featherweight,,0,0,1,0 - 0,0,0,0 - 0,0,0
Akenbieke Ayijiake,CHINA,,,,Featherweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Kevin Barberena,USA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
William Calhoun III,USA,,,25,Featherweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Jose Eudes Tavares,,,,37,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Zamzagul Fayzallanova,KAZAKHSTAN,,,,Featherweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Thad Frick,USA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Elismar Lima da Silva,BRAZIL,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Sergey Petrov,RUSSIA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
James Polodna,AUSTRALIA,,,34,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Ranfi Rivas,VENEZUELA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Masakazu Takafuji,JAPAN,,,33,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Yusuke Ogikubo,JAPAN,,,,Flyweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Cleverson Silva,BRAZIL,,,,Flyweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Paulo Roberto Nogueira da Silva Junior,BRAZIL,,,40,Lightweight,,0,1,1,0 - 0,0,0,0 - 0,0,0
Jorge Rodrigues Silva,BRAZIL,,,41,Lightweight,,0,3,0,0 - 0,0,0,0 - 0,0,0
Khuukhenkhuu Amartuvshin,MONGOLIA,,,,Lightweight,,1,1,0,0 - 0,0,0,0 - 0,0,0
Ibragim Kantaev,RUSSIA,,,,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Alberto Sanchez,MEXICO,,,,Lightweight,,0,1,1,0 - 0,0,0,0 - 0,0,0
Dennis Silver,,,,,Lightweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Igor Soares,BRAZIL,,,36,Lightweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Hiroki Nagaoka,JAPAN,,,38,Welterweight,,1,4,1,0 - 0,0,0,0 - 0,0,0
Andre Ricardo dos Santos Goncalves,BRAZIL,,,39,Welterweight,,1,2,0,0 - 0,0,0,0 - 0,0,0
Shiko Yamashita,JAPAN,,,44,Welterweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Tomokazu Yuasa,JAPAN,,,,Welterweight,,0,0,1,0 - 0,0,0,0 - 0,0,0
Tadahiro Hosaka,JAPAN,,,,,,0,0,1,0 - 0,0,0,0 - 0,0,0
Mitchell Chamale,USA,,,33,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Masato Sannai,JAPAN,,,36,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Khusein Askhabov,LUXEMBOURG,,,,Bantamweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Salah Elkas,FRANCE,,,26,Bantamweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Rosanna Garcia,USA,,,32,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Akhmed Kukaev,RUSSIA,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Iago Lopes,BRAZIL,,,25,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Ian Lujan,USA,,,,Bantamweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Sheymon Moraes,BRAZIL,,,27,Bantamweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Takayoshi Ono,JAPAN,,,37,Bantamweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Allen Gabriel Silva,BRAZIL,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Damian Szmigielski,POLAND,,,,Bantamweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Michael Lytle,USA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Regis Sugden,ENGLAND,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Kendall Carnahan,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Keita Kono,JAPAN,,,34,Featherweight,,1,0,1,0 - 0,0,0,0 - 0,0,0
Josh Davila,USA,,,,Featherweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Jun Doi,JAPAN,,,31,Featherweight,,0,2,0,0 - 0,0,0,0 - 0,0,0
Carson Frei,USA,,,,Featherweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Manuel Gaxhja,ALBANIA,,,,Featherweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Luis Guerra,USA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Eldar Gusmanov,UKRAINE,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Roman Isbell,USA,,,,Featherweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Minoru Kimura,BRAZIL,,,,Featherweight,,0,0,0,0 - 0,0,0,0 - 0,0,0
Munehiro Kin,JAPAN,,,36,Featherweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Sung Soo Lee,SOUTH KOREA,,,,Featherweight,,1,0,0,0 - 0,0,0,0 - 0,0,0
Evandro Oliveira,BRAZIL,,,33,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Daiki Shimizu,JAPAN,,,29,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Hisho Takeda,,,,27,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Miguel Enrique Torres,,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
Walter Zamora,COSTA RICA,,,,Featherweight,,0,1,0,0 - 0,0,0,0 - 0,0,0
