title,country,stance,reach,age,weightClass,trainingCenter,wins,loses,draws,tkos,tko wins,tko lose,subs,subs win,subs lose
Gheorghe Drucioc,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Cassio Drummond,,,,,,,1,1,0,0 - 1,0,1,0 - 0,0,0
Andrei Dryapko,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Ney Duarte dos Santos,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Bruno-Pierre Dubois,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Gary Dudley,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Dudu Dudu,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Eduardo Dudu,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Nate Duel,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Alan Duffy,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Andrew Dugger,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Tim Dunn,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Robyn Dunne,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Akin Duran,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Anthony Durnell,,,,,,,1,1,0,0 - 1,0,1,0 - 0,0,0
Luiz Jorge Dutra Jr.,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Sean Dyer,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Aaron Dyett,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Ivica Dzebic,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Giorgi Dzgangirashvili,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Steve Eakins,,,,,,,0,3,0,0 - 1,0,1,0 - 0,0,0
Gareth Ealey,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Pat Early,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Matt Earnshaw,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Tom Earnshaw,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Chris Easter,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Alex Eastman,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Welby Lee Echeverria Galindo,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Guillermo Echuaca,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Laszlo Eck,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Edinaldo Edinaldo,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Shaun Edmondson,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Corey Edwards,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Griet Eeckhout,,,,,,,0,2,0,0 - 1,0,1,0 - 0,0,0
Evgeniy Egemberdiev,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Martinsh Egle,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Vladimir Egoyan,,,,,,,0,4,0,0 - 1,0,1,0 - 0,0,0
Vladimir Eis,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Ashure Elbanna,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Eldar Eldarov,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Brandon Ellsworth,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Aitek Emadi,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Dmitri Emets,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Bruno Emilio,BRAZIL,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Kostadin Enev,,,,,,,1,1,0,0 - 1,0,1,0 - 0,0,0
Gauthier Engala,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Satoru Enomoto,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Jackie Enos,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Le Er Da Bao,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Ulan Eraliev,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Bekmamat Erekbaev,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Paulo Eric,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Vladimir Eroshin,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Martin Erven,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Jesus Escalante,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Gino Escamilla,,,,,,,0,2,0,0 - 1,0,1,0 - 0,0,0
Roberto Esparaza,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Danilo Espera,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Juan Espino,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Nataly Espino,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Tiago Esquilo,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Marco Estevam,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Teo Esteves,BRAZIL,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Carlos Eugenio,BRAZIL,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Glauke Eugenio e Silva,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Jorge Evangelista Filho,,,,,,,0,2,0,0 - 1,0,1,0 - 0,0,0
Brandon Evans,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Richard Evans,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Sean Evans,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Jason Everhart,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
David Evers,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Di Everton,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Brett Ewing,,,,,,,0,2,0,0 - 1,0,1,0 - 0,0,0
Robert Fabrizi,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Johnny Fadella,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Jonathan Faivre,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Rodrigo Fajardo,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Laura Falcao,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Jason Fann,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Franky Fanomez,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Fleizer Farias,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Patricia de Farias,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Klidson Farias de Abreu,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Tim Farris,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Webster Farris,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Hurshid Fattoev,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Luke Faultersack,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Jeppe Fausing,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Lahat Faye,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Vladimir Fedin,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Vasiliy Fedorych,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Ivan Fedunov,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Vadim Feger,GERMANY,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Xiang Fei,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Yang Fei,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Darrel Feild,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Daniel Fejerang,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Felix Felix,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Jamie Fellows,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Adalton Fernandes,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Antonio Fernandes,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Bruna Fernandes,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Giovane Fernandes,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Jiraya Fernandes,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Thuany Valentim Fernandes,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Eulogio Fernandez,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Mauricio Cubillo Fernandez,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Rodrigo Fernandez,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Marcio Fernando,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Alan Ferreira,,,,,,,0,2,0,0 - 1,0,1,0 - 0,0,0
Alejandro Ferreira,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Fabio Ferreira,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Hamilton Ferreira,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Jucelino Ferreira,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Mario Kleber Ferreira,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Roberto Ferreira,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Rodrigo Ferreira,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Tamara Ferreira de Sousa,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
John Fields,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Simon Fiess,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Unknown fighter,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Dennis Bentes Figueira da Fonseca,,,,,,,1,1,0,0 - 1,0,1,0 - 0,0,0
Denis Figueira da Silva,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Adam Figurski,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Andor Filo,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Alexandre Firmeza,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Kelvin Fitial,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Patrick Fitzgerald,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Paulo Ricardo Fiusa,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Robert Flaherty,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Rodrigo Flecha,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Shawn Fleming,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
BJ Fletcher,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Jaime Flores,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Kristopher Flores,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Tyler Flores,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Dante Florez,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Halton Flowers,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Cheryl Flynn,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Joe Fonoti,,,,,,,0,2,0,0 - 1,0,1,0 - 0,0,0
Drew Forrester,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Ja'Far Fortt,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Adam Foster,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
James Foster,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Shane Fourie,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Ryan Fournier,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Yuri Fraga,,,,,,,0,2,0,0 - 1,0,1,0 - 0,0,0
Diego Frajola,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Jaroslav Franchuk,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Gabe Francis,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Geovane Francisco,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Giovanni Francisco,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Lindsey Frandrop,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Gary Franklin,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Per Franklin,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Lindsay Franks,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Micah Franks,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Roi Frantz,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Damien Fraser,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
David Fraser,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Jason Fratzke,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Bill Frazier,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Justin Frazier,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Mitchell Fredricks,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Daniel Alexandre Freitas Bonfim,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Magnus Frekman,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Ralf Frick,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Lance Friedenstein,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
James Frier,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Perceu Friza,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Christiano Frohlich,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Heidi Froisland,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Dan Frost,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Craig Fruth,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Claire Fryer,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Jess Fuhriman,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Takashi Fujii,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Sayako Fujita,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Lucas Funes,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Otis Funk,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Rogerio Ferreira Furtado,,,,,,,1,1,0,0 - 1,0,1,0 - 0,0,0
Erlon Gabriel,BRAZIL,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Fuad Gadyrov,,,,,,,0,2,0,0 - 1,0,1,0 - 0,0,0
Leo Gaerlan,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Dennis Gagne,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Greg Gagnon,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Ugo Gaillard,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Dmitry Galaginov,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Mattia Galbiati,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Tony Galindo,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Jake Gallagher,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Alexis Gallardo,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Manuel Gallardo,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Abrahan Gallegos,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Davy Gallon,,,,,,,1,1,1,0 - 1,0,1,0 - 0,0,0
Johnathan Gamarra,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Kenneth Gamble,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Jorge Gamboa,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Iles Ganijev,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Alexey Gannenko,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Dominic Garcia,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Gabriel Garcia,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Gabriela Garcia,MEXICO,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Hector Garcia,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Ricardo Garcia,MEXICO,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Jorge Garcia Urbina,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Fernando Gardner,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Alexandr Garkushenko,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Thiago Garofallo,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Chris Garrison,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Elaine Garza,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Daglar Gasimov,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Pawel Gasinski,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Diego Gasparetto,,,,,,,0,2,0,0 - 1,0,1,0 - 0,0,0
Sebastien Gauthier,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Elijah Gbollie,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Jim Geddes,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Jeremy Genin,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Jefferson George,,,,,,,0,4,0,0 - 1,0,1,0 - 0,0,0
Martin Georges,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Krasimir Georgiev,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Chip Gerber,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Joshua Gerber,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Troy Gerhart,,,,,,,0,2,0,0 - 1,0,1,0 - 0,0,0
Mattia Geri,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Krzysztof Gerke,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Brennan Gervasi,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Franklin Gesen,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Artem Gevorkyan,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Muriel Giassi,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Cameron Gidari,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Jay Gilbey,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Stuart Gilham,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Eduardo Gimenez,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Tikhon Gladkov,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Laurent Glaise,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Oleg Glazunov,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Roberto Godoi,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Bruna Godoy,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Victoria Godumchuk,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Andrew Goldthwaite,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Oleg Golovin,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Ilya Gomelyuk,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Artur Gomes,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Diego Gomes,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Guilherme Gomes,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Henrique Gomes,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Joe Gomes,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Danielson Gomes dos Santos,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Lucas Gomez,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Marcel Goncalves,,,,,,,0,2,0,0 - 1,0,1,0 - 0,0,0
Alena Gondasova,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Vladimir Gonsharov,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Gabe Gonzales,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Jose Adan Gonzales,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Woody Gonzales,USA,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Ben Gonzalez,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Marcos Gonzalez,,,,,,,1,1,0,0 - 1,0,1,0 - 0,0,0
Rene Gonzalez,,,,,,,0,2,0,0 - 1,0,1,0 - 0,0,0
Jennifer Gonzalez Araneda,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Jonny Goodall,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Travis Goodman,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Alexey Gorbatyuk,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Andrew Gordon,USA,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Clint Gordon,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Justin Gore,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Richard Gorey,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Igor Gorkun,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Leonardo Gosling,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Micah Goss,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Nathan Gossens,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Edson Nilson Gottlieb Jr.,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Donald Gouge,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Odilon Gouveia de Souza Filho,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Marcus Govan,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Nick Grady,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Bruno Farias Grancheux,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Pedro Eugenio Granjo,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Kristopher Gratalo,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Kevin Gratts,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Mark Gray,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Ruddy Gray,,,,,,,0,2,0,0 - 1,0,1,0 - 0,0,0
Brad Green,USA,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
John Green,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Allen Greenway,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Maicon Gregor,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Paul Gregson,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Tim Grieves,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Derek Griffin,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Kyle Griffin,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Lemetra Griffin,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Constance Griffiths,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
James Griffiths,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Kazys Grigaliunas,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Tory Groman,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Brandon Groom,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Leonardo Guarabya,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Daniel Isaac Guerra,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Miguel Guerra,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Refki Guerrida,,,,,,,0,2,0,0 - 1,0,1,0 - 0,0,0
Murat Gugov,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Gino Guidi,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Rick Guillen,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Eduardo Guimaraes,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Ed Guinard,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Benoit Guionnet,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Marat Gulomov,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Amauri Gumz,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Pete Gunn,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Bobby Gurley,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Rustam Guseinov,RUSSIA,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Gustavo Gussem,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Adrian Gutierrez,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Clay Guy,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Henry Guzman,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Joel Haesecke,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Chris Haggerty,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Muhamad Haidar,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Arben Hajdini,SLOVENIA,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Butch Hajicek,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Anzor Hakimov,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Ibragim Halilov,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Denis Hall,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Jay Hall,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Jessica Halverson,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Masayuki Hamagishi,,,,,,,0,1,1,0 - 1,0,1,0 - 0,0,0
Yoko Hamamura,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Sebastien Hamel,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Sunay Hamidov,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Kan Hamongkol,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Joshua Hancock,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Tristian Hansburger,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Andrew Hansen,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
Paul Hansen,,,,,,,0,1,0,0 - 1,0,1,0 - 0,0,0
